x y velocity
8.813083529542343753e-01 3.296817914325794741e-01 2.199816291617795461e+00
8.910246089196085517e-01 3.498764207768163548e-01 1.632409229597158840e+00
9.009801052173307401e-01 3.398400931291051252e-01 1.973116330922879191e+00
8.911624101189919989e-01 3.297266632722663515e-01 2.217384822906462993e+00
8.812479755814822679e-01 3.397696977696695320e-01 1.948289476018172595e+00
8.911082981710763962e-01 3.398049815200442914e-01 1.960321404729415073e+00
8.808731596761255611e-01 3.699758167520647012e-01 8.517794816311321515e-01
8.611005332011043567e-01 3.699554709771941119e-01 8.475547010270201298e-01
8.614486177400628719e-01 3.497994210694200801e-01 1.619466311085855592e+00
8.811545858548553989e-01 3.498501061091498499e-01 1.627620767813309666e+00
8.709822263283688581e-01 3.699651998214302240e-01 8.493337700266998525e-01
8.612937800454493198e-01 3.598855209818003775e-01 1.244843992054535109e+00
8.712958016881533485e-01 3.498242612817674679e-01 1.623077550438185801e+00
8.810291245747163824e-01 3.599198650457627324e-01 1.245303481690037906e+00
8.711561625648339691e-01 3.599022108432631262e-01 1.244907015894061386e+00
8.606084489619711952e-01 3.900321219673849038e-01 2.121274993839823708e-01
8.407600504615665438e-01 3.900334064167972903e-01 1.891365909419330249e-01
8.413656602361275771e-01 3.699402267659721577e-01 8.472849865035940731e-01
8.611005332011043567e-01 3.699554709771941119e-01 8.475547010270201298e-01
8.506813722253653287e-01 3.900323105240982580e-01 1.992291247791568853e-01
8.410841987851246371e-01 3.800004204576341582e-01 4.800008736414440591e-01
8.512283092699935994e-01 3.699469985088671975e-01 8.467601450560880982e-01
8.608710892788047353e-01 3.800055698632318069e-01 4.925084421648798227e-01
8.509737068501186386e-01 3.800023430718122985e-01 4.855678454047958059e-01
8.407600504615665438e-01 3.900334064167972903e-01 1.891365909419330249e-01
8.209346493024662905e-01 3.900390877441702320e-01 1.747776732995506843e-01
8.200000000008376144e-01 4.099999999999504041e-01 -1.530947004490742711e-02
8.400000000003682299e-01 4.099999999999982547e-01 -9.950688828819448037e-03
8.308445074062524860e-01 3.900355897044939790e-01 1.809562565546591062e-01
8.204902604870150107e-01 4.000402590814777226e-01 2.040029291593067201e-02
8.300000000000474776e-01 4.099999999999983102e-01 -1.404754126264877098e-02
8.403970266840641301e-01 4.000347523371156067e-01 1.742273200389643853e-02
8.304420641287290072e-01 4.000371893299431991e-01 1.730074803297445424e-02
8.813083529542343753e-01 3.296817914325794741e-01 2.199816291617795461e+00
9.010283808064786237e-01 3.297711149665084607e-01 2.237142479780489523e+00
9.010443333948050526e-01 3.096249159847372368e-01 2.616458875794662298e+00
8.813292691723546568e-01 3.094958881636138415e-01 2.566437680802607257e+00
8.911624101189919989e-01 3.297266632722663515e-01 2.217384822906462993e+00
9.010497781755708591e-01 3.196985121163923305e-01 2.445477474435834520e+00
8.911807805589526676e-01 3.095609082580920157e-01 2.589622665498452658e+00
8.813353768030171009e-01 3.195895028625834744e-01 2.400387009798047533e+00
8.911865293791916276e-01 3.196443580929165806e-01 2.421359350687168455e+00
8.811545858548553989e-01 3.498501061091498499e-01 1.627620767813309666e+00
8.614486177400628719e-01 3.497994210694200801e-01 1.619466311085855592e+00
8.616378486995204256e-01 3.295934023156483761e-01 2.174305967759916580e+00
8.813083529542343753e-01 3.296817914325794741e-01 2.199816291617795461e+00
8.712958016881533485e-01 3.498242612817674679e-01 1.623077550438185801e+00
8.615635731419005738e-01 3.397008402314487530e-01 1.929729108418415384e+00
8.714666982736896106e-01 3.296371153490267325e-01 2.185223779938556987e+00
8.812479755814822679e-01 3.397696977696695320e-01 1.948289476018172595e+00
8.713996055636554772e-01 3.397347667630278290e-01 1.937842277551032000e+00
8.611005332011043567e-01 3.699554709771941119e-01 8.475547010270201298e-01
8.413656602361275771e-01 3.699402267659721577e-01 8.472849865035940731e-01
8.417899288528973845e-01 3.497554977475014759e-01 1.617587639488495377e+00
8.614486177400628719e-01 3.497994210694200801e-01 1.619466311085855592e+00
8.512283092699935994e-01 3.699469985088671975e-01 8.467601450560880982e-01
8.416015779208413372e-01 3.598571670099556252e-01 1.247519160962392792e+00
8.516132911280968054e-01 3.497762365239446281e-01 1.617436009153515819e+00
8.612937800454493198e-01 3.598855209818003775e-01 1.244843992054535109e+00
8.514422156311962642e-01 3.598703032605226060e-01 1.245561474045568273e+00
8.407600504615665438e-01 3.900334064167972903e-01 1.891365909419330249e-01
8.209346493024662905e-01 3.900390877441702320e-01 1.747776732995506843e-01
8.216687514433980155e-01 3.699339661370784071e-01 8.531568569875561669e-01
8.413656602361275771e-01 3.699402267659721577e-01 8.472849865035940731e-01
8.308445074062524860e-01 3.900355897044939790e-01 1.809562565546591062e-01
8.213286180132075565e-01 3.800019191997636714e-01 4.739427765669075310e-01
8.315125519390579312e-01 3.699356767664105372e-01 8.493185796476537819e-01
8.410841987851246371e-01 3.800004204576341582e-01 4.800008736414440591e-01
8.312025552865076605e-01 3.800001484490673209e-01 4.760303745264943820e-01
8.209346493024662905e-01 3.900390877441702320e-01 1.747776732995506843e-01
8.011309402190497364e-01 3.900510188797490230e-01 1.680967575763670230e-01
8.000000000010495382e-01 4.099999999999567879e-01 -1.550686523152126559e-02
8.200000000008376144e-01 4.099999999999504041e-01 -1.530947004490742711e-02
8.110302599729058981e-01 3.900441351783803801e-01 1.704747112381665153e-01
8.005956479110182267e-01 4.000486659818453528e-01 2.623787806734982977e-02
8.100000000000712186e-01 4.099999999999972000e-01 -1.545669832787778357e-02
8.204902604870150107e-01 4.000402590814777226e-01 2.040029291593067201e-02
8.105415175898605940e-01 4.000440532971570873e-01 2.392464969747182951e-02
8.813292691723546568e-01 3.094958881636138415e-01 2.566437680802607257e+00
9.010443333948050526e-01 3.096249159847372368e-01 2.616458875794662298e+00
9.009554580392780121e-01 2.894849032326702321e-01 2.853650371429799382e+00
8.812212266115705406e-01 2.893164680877824413e-01 2.809652357498570119e+00
8.911807805589526676e-01 3.095609082580920157e-01 2.589622665498452658e+00
9.010125672265038022e-01 2.995528904579288221e-01 2.755503900119612215e+00
8.910827091235234976e-01 2.894015364637880228e-01 2.830387181918990969e+00
8.812907936582428103e-01 2.994039218369546340e-01 2.704033690802378764e+00
8.911457994427760543e-01 2.994790796636659369e-01 2.727942001595369703e+00
8.813083529542343753e-01 3.296817914325794741e-01 2.199816291617795461e+00
8.616378486995204256e-01 3.295934023156483761e-01 2.174305967759916580e+00
8.616643617069169592e-01 3.093661235944651922e-01 2.534311027140376815e+00
8.813292691723546568e-01 3.094958881636138415e-01 2.566437680802607257e+00
8.714666982736896106e-01 3.296371153490267325e-01 2.185223779938556987e+00
8.616712937500334846e-01 3.194806688147210361e-01 2.370899302709124967e+00
8.714903144218277831e-01 3.094306352902898571e-01 2.547751998492616909e+00
8.813353768030171009e-01 3.195895028625834744e-01 2.400387009798047533e+00
8.714968227304975557e-01 3.195346473561805900e-01 2.383337947297128778e+00
8.614486177400628719e-01 3.497994210694200801e-01 1.619466311085855592e+00
8.417899288528973845e-01 3.497554977475014759e-01 1.617587639488495377e+00
8.420196110862275818e-01 3.295128491784845570e-01 2.165788544113063097e+00
8.616378486995204256e-01 3.295934023156483761e-01 2.174305967759916580e+00
8.516132911280968054e-01 3.497762365239446281e-01 1.617436009153515819e+00
8.419294612342261841e-01 3.396393719754861040e-01 1.923066270129103250e+00
8.518221024801068131e-01 3.295515976358557309e-01 2.167662276963212786e+00
8.615635731419005738e-01 3.397008402314487530e-01 1.929729108418415384e+00
8.517401488609354088e-01 3.396687183872793558e-01 1.924613231546191683e+00
8.413656602361275771e-01 3.699402267659721577e-01 8.472849865035940731e-01
8.216687514433980155e-01 3.699339661370784071e-01 8.531568569875561669e-01
8.221786067463028314e-01 3.497253087691077900e-01 1.626491156141169681e+00
8.417899288528973845e-01 3.497554977475014759e-01 1.617587639488495377e+00
8.315125519390579312e-01 3.699356767664105372e-01 8.493185796476537819e-01
8.219526190859981485e-01 3.598401823790653986e-01 1.256932242524399390e+00
8.319784674319022910e-01 3.497381480957136302e-01 1.620448059252765249e+00
8.416015779208413372e-01 3.598571670099556252e-01 1.247519160962392792e+00
8.317718025971944096e-01 3.598468407007076042e-01 1.251163249830167690e+00
8.209346493024662905e-01 3.900390877441702320e-01 1.747776732995506843e-01
8.011309402190497364e-01 3.900510188797490230e-01 1.680967575763670230e-01
8.020069828091070940e-01 3.699420226339224516e-01 8.673755944136121165e-01
8.216687514433980155e-01 3.699339661370784071e-01 8.531568569875561669e-01
8.110302599729058981e-01 3.900441351783803801e-01 1.704747112381665153e-01
8.016022302680257949e-01 3.800134938174771770e-01 4.764908814626720446e-01
8.118338103352737978e-01 3.699358060492566325e-01 8.590776207838913825e-01
8.213286180132075565e-01 3.800019191997636714e-01 4.739427765669075310e-01
8.114620349793554288e-01 3.800061954867131053e-01 4.740049188386359358e-01
8.011309402190497364e-01 3.900510188797490230e-01 1.680967575763670230e-01
7.813449366396908458e-01 3.900715235912276535e-01 1.697969098461077353e-01
7.800000000012485835e-01 4.099999999999761613e-01 -1.533691371107468414e-02
8.000000000010495382e-01 4.099999999999567879e-01 -1.550686523152126559e-02
7.912361129083300693e-01 3.900600337319696242e-01 1.678306474231477663e-01
7.807112219485865534e-01 4.000607797304826518e-01 2.675468314741018261e-02
7.900000000000858558e-01 4.099999999999983658e-01 -1.552968919221702285e-02
8.005956479110182267e-01 4.000486659818453528e-01 2.623787806734982977e-02
7.906523570270230783e-01 4.000542080566510950e-01 2.712857543384359152e-02
8.812212266115705406e-01 2.893164680877824413e-01 2.809652357498570119e+00
9.009554580392780121e-01 2.894849032326702321e-01 2.853650371429799382e+00
9.007712587556040429e-01 2.693702805763699137e-01 2.803486075072584516e+00
8.809963485039271625e-01 2.691658604936398302e-01 2.857385355649776137e+00
8.910827091235234976e-01 2.894015364637880228e-01 2.830387181918990969e+00
9.008744166561301059e-01 2.794233012180742937e-01 2.884997436876441945e+00
8.908789689015873536e-01 2.692692859088877677e-01 2.834576661204740500e+00
8.811223346597826245e-01 2.792362590632919694e-01 2.869699816657023117e+00
8.909930932585670149e-01 2.793308127528696394e-01 2.877883490704847613e+00
8.813292691723546568e-01 3.094958881636138415e-01 2.566437680802607257e+00
8.616643617069169592e-01 3.093661235944651922e-01 2.534311027140376815e+00
8.615340975892629150e-01 2.891450619570106739e-01 2.780882688699402916e+00
8.812212266115705406e-01 2.893164680877824413e-01 2.809652357498570119e+00
8.714903144218277831e-01 3.094306352902898571e-01 2.547751998492616909e+00
8.616180948006205709e-01 2.992531615990038918e-01 2.671069221111403991e+00
8.713715307263003584e-01 2.892306001827391615e-01 2.792738143830858277e+00
8.812907936582428103e-01 2.994039218369546340e-01 2.704033690802378764e+00
8.714480706776500663e-01 2.993282620222848522e-01 2.684778784440415400e+00
8.616378486995204256e-01 3.295934023156483761e-01 2.174305967759916580e+00
8.420196110862275818e-01 3.295128491784845570e-01 2.165788544113063097e+00
8.420527770248285027e-01 3.092444052530817222e-01 2.525438693732112938e+00
8.616643617069169592e-01 3.093661235944651922e-01 2.534311027140376815e+00
8.518221024801068131e-01 3.295515976358557309e-01 2.167662276963212786e+00
8.420604775484016313e-01 3.193798996672399526e-01 2.362040594501136237e+00
8.518517692689315801e-01 3.093035583341223749e-01 2.526722098462619304e+00
8.616712937500334846e-01 3.194806688147210361e-01 2.370899302709124967e+00
8.518591135193879227e-01 3.194286470884554197e-01 2.363648089090538917e+00
8.417899288528973845e-01 3.497554977475014759e-01 1.617587639488495377e+00
8.221786067463028314e-01 3.497253087691077900e-01 1.626491156141169681e+00
8.224540939505835535e-01 3.294503182367112815e-01 2.177821591233373155e+00
8.420196110862275818e-01 3.295128491784845570e-01 2.165788544113063097e+00
8.319784674319022910e-01 3.497381480957136302e-01 1.620448059252765249e+00
8.223458425114641424e-01 3.395938892794151953e-01 1.932512061716644469e+00
8.322303571687784673e-01 3.294785408063006238e-01 2.169076952326380425e+00
8.419294612342261841e-01 3.396393719754861040e-01 1.923066270129103250e+00
8.321314525141091378e-01 3.396139667944261253e-01 1.925568131254750570e+00
8.216687514433980155e-01 3.699339661370784071e-01 8.531568569875561669e-01
8.020069828091070940e-01 3.699420226339224516e-01 8.673755944136121165e-01
8.026110990901144104e-01 3.497186298278876504e-01 1.649700327076763173e+00
8.221786067463028314e-01 3.497253087691077900e-01 1.626491156141169681e+00
8.118338103352737978e-01 3.699358060492566325e-01 8.590776207838913825e-01
8.023435793859629017e-01 3.598420481530378301e-01 1.276474444416781484e+00
8.123897872001919485e-01 3.497182932868406757e-01 1.636125621326770307e+00
8.219526190859981485e-01 3.598401823790653986e-01 1.256932242524399390e+00
8.121434918891786703e-01 3.598381979201517589e-01 1.265240277986765305e+00
8.011309402190497364e-01 3.900510188797490230e-01 1.680967575763670230e-01
7.813449366396908458e-01 3.900715235912276535e-01 1.697969098461077353e-01
7.823730217370629125e-01 3.699714285189462659e-01 8.923057408180841144e-01
8.020069828091070940e-01 3.699420226339224516e-01 8.673755944136121165e-01
7.912361129083300693e-01 3.900600337319696242e-01 1.678306474231477663e-01
7.818992051486526318e-01 3.800395843753130443e-01 4.898262504003597084e-01
7.921872113383490177e-01 3.699535459972505547e-01 8.783552839770008003e-01
8.016022302680257949e-01 3.800134938174771770e-01 4.764908814626720446e-01
7.917483452115385845e-01 3.800244072428896613e-01 4.816771506026428784e-01
7.813449366396908458e-01 3.900715235912276535e-01 1.697969098461077353e-01
7.615688515854711627e-01 3.901033605321646558e-01 1.816236637806789567e-01
7.600000000014526247e-01 4.100000000000066369e-01 -1.506042940956581720e-02
