x y mesh_f
1.932604664625053870e-01 2.530330087790019777e-01 9.999999999999997780e-01
2.045080671807343320e-01 2.707106788837636557e-01 9.999999999999995559e-01
2.059168097764726979e-01 3.205243470195297539e-01 1.000000000000000000e+00
2.649260662284969037e-01 3.291117566885510271e-01 1.000000000000000000e+00
1.998546097087879336e-01 4.100000047550462212e-01 1.000000000000000000e+00
2.354214389017249554e-01 3.248180532709200041e-01 1.000000000000000444e+00
2.323903382051596134e-01 3.695558804838982025e-01 9.999999999999997780e-01
2.028857078720162632e-01 3.652621714861100100e-01 9.999999999999995559e-01
2.059168097764726979e-01 3.205243470195297539e-01 1.000000000000000000e+00
2.271037644917635601e-01 2.707106785808522376e-01 1.000000000000000000e+00
1.819123650382167556e-01 2.707106753949833911e-01 1.000000000000000000e+00
2.165102865026164169e-01 2.956175124230693840e-01 1.000000000000000444e+00
2.045080671807344430e-01 2.707106788837636557e-01 9.999999999999997780e-01
1.939145890287854446e-01 2.956175114516090274e-01 9.999999999999995559e-01
2.271037644917635601e-01 2.707106785808522376e-01 1.000000000000000000e+00
2.353552885192272959e-01 2.353553028503749256e-01 1.000000000000000000e+00
2.046085735991412802e-01 2.353553451961261644e-01 1.000000000000000000e+00
2.312295504691264381e-01 2.530330081087122651e-01 1.000000000000000444e+00
2.199819529411019825e-01 2.353553395255518765e-01 9.999999999999997780e-01
2.158561678044042531e-01 2.530330114373901540e-01 9.999999999999995559e-01
2.649260662284969037e-01 3.291117566885510271e-01 1.000000000000000000e+00
2.926907795778949661e-01 4.100000028232084759e-01 1.000000000000000000e+00
1.998546097087879336e-01 4.100000047550462212e-01 1.000000000000000000e+00
2.788084221021480680e-01 3.695558791832673773e-01 1.000000000000000444e+00
2.462726930586846275e-01 4.100000015821322896e-01 9.999999999999997780e-01
2.323903382051595579e-01 3.695558804838981470e-01 9.999999999999995559e-01
2.926907795778949661e-01 4.100000028232084759e-01 1.000000000000000000e+00
3.427154030607059143e-01 3.384573860235907672e-01 1.000000000000000000e+00
3.985449466420928344e-01 4.100000010639534009e-01 1.000000000000000000e+00
3.177030918475084453e-01 3.742286934235920515e-01 1.000000000000000444e+00
3.706301768061193713e-01 3.742286931309648512e-01 9.999999999999997780e-01
3.456178623815528983e-01 4.100000001920288129e-01 9.999999999999995559e-01
2.271037644917635601e-01 2.707106785808522376e-01 1.000000000000000000e+00
2.707106819681390220e-01 2.707106816696584484e-01 1.000000000000000000e+00
2.353552885192272959e-01 2.353553028503749256e-01 1.000000000000000000e+00
2.489072232383214844e-01 2.707106805810531869e-01 1.000000000000000444e+00
2.530330089365063762e-01 2.530330089300595886e-01 9.999999999999997780e-01
2.312295504691262438e-01 2.530330081087120431e-01 9.999999999999995559e-01
2.649260662284969037e-01 3.291117566885510271e-01 1.000000000000000000e+00
