x y mesh_s
3.670292477416853272e-01 2.100000004508159046e-01 0.000000000000000000e+00
3.468458879292752317e-01 1.899999989932556477e-01 0.000000000000000000e+00
3.468458875224856297e-01 2.099999989880130813e-01 0.000000000000000000e+00
3.147616114728896686e-01 1.899999995629777505e-01 0.000000000000000000e+00
3.468458908252624040e-01 2.000000009181448213e-01 0.000000000000000000e+00
3.308037498228666440e-01 1.999999995909664541e-01 0.000000000000000000e+00
3.308037498204788318e-01 1.899999996213342923e-01 0.000000000000000000e+00
3.468458875224856297e-01 2.099999989880130813e-01 0.000000000000000000e+00
3.147616114728896686e-01 1.899999995629777505e-01 0.000000000000000000e+00
3.147616084636759570e-01 2.099999974674905956e-01 0.000000000000000000e+00
3.308037498228667550e-01 1.999999995909665651e-01 0.000000000000000000e+00
3.147616113179645958e-01 1.999999996636093458e-01 0.000000000000000000e+00
3.308037501507521960e-01 2.099999996840296035e-01 0.000000000000000000e+00
3.147616114728896686e-01 1.899999995629777505e-01 0.000000000000000000e+00
3.147616084636759570e-01 2.099999974674905956e-01 0.000000000000000000e+00
2.897572341414567654e-01 1.900000040483114105e-01 0.000000000000000000e+00
3.147616113179648734e-01 1.999999996636094846e-01 0.000000000000000000e+00
3.022594286980408995e-01 2.000000047777837908e-01 0.000000000000000000e+00
3.022594223335519636e-01 1.900000003807477134e-01 0.000000000000000000e+00
4.387032806762753423e-01 1.899999988466086198e-01 0.000000000000000000e+00
4.387032822817538147e-01 2.099999991992050341e-01 0.000000000000000000e+00
4.966942596335198190e-01 1.900000019186463274e-01 0.000000000000000000e+00
4.387032828122946482e-01 1.999999995754751236e-01 0.000000000000000000e+00
4.676987719985760128e-01 2.000000003591728137e-01 0.000000000000000000e+00
4.676987669801558889e-01 1.899999996581551720e-01 0.000000000000000000e+00
4.387032806762753423e-01 1.899999988466086198e-01 0.000000000000000000e+00
3.872126049008485227e-01 1.899999999280095886e-01 0.000000000000000000e+00
4.387032822817538147e-01 2.099999991992050341e-01 0.000000000000000000e+00
4.129579458229934996e-01 1.900000009438899407e-01 0.000000000000000000e+00
4.129579465318965470e-01 2.000000009817559099e-01 0.000000000000000000e+00
4.387032828122941486e-01 1.999999995754749571e-01 0.000000000000000000e+00
3.872126049008485227e-01 1.899999999280095886e-01 0.000000000000000000e+00
3.872126039779440476e-01 2.099999993034373236e-01 0.000000000000000000e+00
4.387032822817538147e-01 2.099999991992050341e-01 0.000000000000000000e+00
3.872126051000497338e-01 2.000000001430747854e-01 0.000000000000000000e+00
4.129579451386043432e-01 2.100000004438621060e-01 0.000000000000000000e+00
4.129579465318964360e-01 2.000000009817558821e-01 0.000000000000000000e+00
4.387032822817538147e-01 2.099999991992050341e-01 0.000000000000000000e+00
4.966942596335198190e-01 1.900000019186463274e-01 0.000000000000000000e+00
4.966942420579049111e-01 2.099999956284611391e-01 0.000000000000000000e+00
4.676987719985763459e-01 2.000000003591729247e-01 0.000000000000000000e+00
4.966942466336959350e-01 1.999999970023485507e-01 0.000000000000000000e+00
4.676987662558340642e-01 2.099999988777603022e-01 0.000000000000000000e+00
5.410822201340385051e-01 1.900000001655204329e-01 0.000000000000000000e+00
4.966942596335198190e-01 1.900000019186463274e-01 0.000000000000000000e+00
4.966942420579049111e-01 2.099999956284611391e-01 0.000000000000000000e+00
5.188882379625573416e-01 1.900000001871805788e-01 0.000000000000000000e+00
4.966942466336959350e-01 1.999999970023485507e-01 0.000000000000000000e+00
5.188882375904437794e-01 2.000000001540079564e-01 0.000000000000000000e+00
5.410822201340385051e-01 1.900000001655204329e-01 0.000000000000000000e+00
4.966942420579049111e-01 2.099999956284611391e-01 0.000000000000000000e+00
5.410822246387143597e-01 2.100000018468350937e-01 0.000000000000000000e+00
5.188882375904442235e-01 2.000000001540081507e-01 0.000000000000000000e+00
5.188882364973448347e-01 2.099999997613107017e-01 0.000000000000000000e+00
5.410822200375539071e-01 1.999999999805564532e-01 0.000000000000000000e+00
5.410822201340385051e-01 1.900000001655204329e-01 0.000000000000000000e+00
5.410822246387143597e-01 2.100000018468350937e-01 0.000000000000000000e+00
5.744360346017096663e-01 1.900000005820544347e-01 0.000000000000000000e+00
5.410822200375545732e-01 1.999999999805566753e-01 0.000000000000000000e+00
5.577591271393238515e-01 2.000000001174856434e-01 0.000000000000000000e+00
5.577591263037030567e-01 1.899999998216714003e-01 0.000000000000000000e+00
