x y function_63
1.939145894121689917e-01 2.956175120882202911e-01 1.804063956234106486e-07
1.879134794359283434e-01 2.831640951034375409e-01 2.367871082514656684e-07
1.965629586370742365e-01 2.893908035958289160e-01 2.091355783474626610e-07
1.909140344240486675e-01 2.893908035958289160e-01 2.054649029123513196e-07
1.935624036489539124e-01 2.831640951034375409e-01 2.418898640419302886e-07
2.045080663117899988e-01 2.707106781186547906e-01 3.554531980488444496e-07
1.992113278619794814e-01 2.831640951034375409e-01 2.439552760870851895e-07
1.932102178857388608e-01 2.707106781186547906e-01 3.576540641733067542e-07
2.018596970868847262e-01 2.769373866110461657e-01 2.921267692583366729e-07
1.962107728738591850e-01 2.769373866110461657e-01 2.933453585287539767e-07
1.988591420987644298e-01 2.707106781186547906e-01 3.601690180482832203e-07
2.101821152728612918e-01 2.652710755538199572e-01 3.849218749517742922e-07
2.045080663117899988e-01 2.707106781186547906e-01 3.554531980488444496e-07
1.988842668468101260e-01 2.655298960503024164e-01 4.067346984133752511e-07
2.073450907923256592e-01 2.680540375957220500e-01 3.687633720025331356e-07
2.016961665793000624e-01 2.681182460922687527e-01 3.798220667313678447e-07
2.045331910598356950e-01 2.654815280260944266e-01 3.985574820964652619e-07
2.158561642339325570e-01 2.590649471106352131e-01 4.530517605467522787e-07
2.101821152728612918e-01 2.652710755538199572e-01 3.849218749517742922e-07
2.045583158078814190e-01 2.602512310748568702e-01 4.772795587369105455e-07
2.130191397533969244e-01 2.622974012646314135e-01 4.119778027260727063e-07
2.073702155403713554e-01 2.627393548466295248e-01 4.287617790135698687e-07
2.102072400209069880e-01 2.598288566403556543e-01 4.674452173223562097e-07
2.158561642339325570e-01 2.590649471106352131e-01 4.530517605467522787e-07
2.179190582077913108e-01 2.526867452962703320e-01 6.480512061545755886e-07
2.102323647689526842e-01 2.543840112851388779e-01 6.241585213502543510e-07
2.168876112208619200e-01 2.559300998651786729e-01 5.394181303815173921e-07
2.140757114883720114e-01 2.536610590264726794e-01 6.394994348411057686e-07
2.130442645014426206e-01 2.566843107823338355e-01 5.383238755951177188e-07
2.199819521816500645e-01 2.458336294330947802e-01 2.988667118523513969e-08
2.179190582077913108e-01 2.526867452962703320e-01 6.480512061545755886e-07
2.122952587428114379e-01 2.484646944945216873e-01 4.731599763151826558e-08
2.189505051947207015e-01 2.493247581075464236e-01 7.884136982326629814e-07
2.151071584753013743e-01 2.505440716919298816e-01 7.001747788942697215e-07
2.161386054622307373e-01 2.473238355771640307e-01 2.234680580536174419e-08
1.907903878075843385e-01 3.451832445593012721e-01 9.247341403712348528e-08
1.892748373376626769e-01 3.675521580448548598e-01 7.982755759797872441e-08
1.771795167204401056e-01 3.474732295752632760e-01 8.673488109366236938e-08
1.900326125726234938e-01 3.563677013020780660e-01 8.572171104476264932e-08
1.832271770290513913e-01 3.575126938100590679e-01 8.298027874489306424e-08
1.839849522640122359e-01 3.463282370672822741e-01 8.970136451404484096e-08
1.923059382775060000e-01 3.228143310737477401e-01 1.159571777653550731e-07
1.786950671903617671e-01 3.251043160897097439e-01 1.076183136257891740e-07
1.907903878075843385e-01 3.451832445593012721e-01 9.247341403712348528e-08
1.855005027339338697e-01 3.239593235817287420e-01 1.120511842313151235e-07
1.847427274989730528e-01 3.351437803245055358e-01 9.932739514773386529e-08
1.915481630425451831e-01 3.339987878165244783e-01 1.030502360756750704e-07
1.863048283012653794e-01 3.103609140889650453e-01 1.353775862147506090e-07
1.923059382775060000e-01 3.228143310737477401e-01 1.159571777653550731e-07
1.786950671903617671e-01 3.251043160897097439e-01 1.076183136257891740e-07
1.893053832893856758e-01 3.165876225813564204e-01 1.248319756633730211e-07
1.855005027339338697e-01 3.239593235817287420e-01 1.120511842313151235e-07
1.824999477458135733e-01 3.177326150893373669e-01 1.209118576974669681e-07
1.939145894121689917e-01 2.956175120882202911e-01 1.804063956234106486e-07
1.999156993884096123e-01 3.080709290730030414e-01 1.438341933359098690e-07
1.863048283012653794e-01 3.103609140889650453e-01 1.353775862147506090e-07
1.969151444002892881e-01 3.018442205806116663e-01 1.603155122179267486e-07
1.931102638448374820e-01 3.092159215809840433e-01 1.403163812772934965e-07
1.901097088567171856e-01 3.029892130885926682e-01 1.563159239248044356e-07
1.992113278619794814e-01 2.831640951034375409e-01 2.439552760870851895e-07
1.939145894121689917e-01 2.956175120882202911e-01 1.804063956234106486e-07
2.052124378382201297e-01 2.956175120882202911e-01 1.789938810882207973e-07
1.965629586370742365e-01 2.893908035958289160e-01 2.091355783474626610e-07
1.995635136251945607e-01 2.956175120882202911e-01 1.807066065759733299e-07
2.022118828500998056e-01 2.893908035958289160e-01 2.078898446434103103e-07
2.045080663117899988e-01 2.707106781186547906e-01 3.554531980488444496e-07
1.992113278619794814e-01 2.831640951034375409e-01 2.439552760870851895e-07
2.105091762880306194e-01 2.831640951034375409e-01 2.323294132396715240e-07
2.018596970868847262e-01 2.769373866110461657e-01 2.921267692583366729e-07
2.048602520750050504e-01 2.831640951034375409e-01 2.398471653818135542e-07
2.075086212999103230e-01 2.769373866110461657e-01 2.860043829035703391e-07
2.101821152728612918e-01 2.652710755538199572e-01 3.849218749517742922e-07
2.158059147378411646e-01 2.707106781186547906e-01 3.174175283430268227e-07
2.045080663117899988e-01 2.707106781186547906e-01 3.554531980488444496e-07
2.129940150053512282e-01 2.679070985965103513e-01 3.507713917251175103e-07
2.101569905248155679e-01 2.707106781186547906e-01 3.397911393157208933e-07
2.073450907923256592e-01 2.680540375957220500e-01 3.687633720025331356e-07
2.214799636989124298e-01 2.643207540444989512e-01 3.331522659921016855e-07
2.158561642339325570e-01 2.590649471106352131e-01 4.530517605467522787e-07
2.101821152728612918e-01 2.652710755538199572e-01 3.849218749517742922e-07
2.186680639664224934e-01 2.615882867334662354e-01 3.897135417306381207e-07
2.130191397533969244e-01 2.622974012646314135e-01 4.119778027260727063e-07
2.158310394858868608e-01 2.648899110849960437e-01 3.626618408311644704e-07
2.235428576727712113e-01 2.574105756971399872e-01 4.218741236944608522e-07
2.158561642339325570e-01 2.590649471106352131e-01 4.530517605467522787e-07
2.179190582077913108e-01 2.526867452962703320e-01 6.480512061545755886e-07
2.196995109533518842e-01 2.583332048664404024e-01 4.400467461351114179e-07
2.168876112208619200e-01 2.559300998651786729e-01 5.394181303815173921e-07
2.207309579402812472e-01 2.549538489566969268e-01 5.374799924042829925e-07
2.256057516466299651e-01 2.498870522304971198e-01 6.830856940537827355e-07
2.199819521816500645e-01 2.458336294330947802e-01 2.988667118523513969e-08
2.179190582077913108e-01 2.526867452962703320e-01 6.480512061545755886e-07
2.227938519141400286e-01 2.477782057934932725e-01 8.716678117428781461e-07
2.189505051947207015e-01 2.493247581075464236e-01 7.884136982326629814e-07
2.217624049272106379e-01 2.514393152852924529e-01 6.789940302071669226e-07
2.028857084248069098e-01 3.652621730288928559e-01 8.292098200979966105e-08
1.907903878075843385e-01 3.451832445593012721e-01 9.247341403712348528e-08
1.892748373376626769e-01 3.675521580448548598e-01 7.982755759797872441e-08
1.968380481161956241e-01 3.552227087940970640e-01 8.707495383150572698e-08
1.900326125726234938e-01 3.563677013020780660e-01 8.572171104476264932e-08
1.960802728812348072e-01 3.664071655368738578e-01 8.165816333377888959e-08
1.923059382775060000e-01 3.228143310737477401e-01 1.159571777653550731e-07
1.907903878075843385e-01 3.451832445593012721e-01 9.247341403712348528e-08
2.044012588947285713e-01 3.428932595433392683e-01 9.569918653116795743e-08
1.915481630425451831e-01 3.339987878165244783e-01 1.030502360756750704e-07
1.975958233511564410e-01 3.440382520513202702e-01 9.430733354445560188e-08
1.983535985861172857e-01 3.328537953085435319e-01 1.045703926474611143e-07
1.999156993884096123e-01 3.080709290730030414e-01 1.438341933359098690e-07
1.863048283012653794e-01 3.103609140889650453e-01 1.353775862147506090e-07
1.923059382775060000e-01 3.228143310737477401e-01 1.159571777653550731e-07
1.931102638448374820e-01 3.092159215809840433e-01 1.403163812772934965e-07
1.893053832893856758e-01 3.165876225813564204e-01 1.248319756633730211e-07
1.961108188329578061e-01 3.154426300733753630e-01 1.291304898270226336e-07
1.939145894121689917e-01 2.956175120882202911e-01 1.804063956234106486e-07
2.052124378382201297e-01 2.956175120882202911e-01 1.789938810882207973e-07
1.999156993884096123e-01 3.080709290730030414e-01 1.438341933359098690e-07
1.995635136251945607e-01 2.956175120882202911e-01 1.807066065759733299e-07
2.025640686133148849e-01 3.018442205806116663e-01 1.598578806956750576e-07
1.969151444002892881e-01 3.018442205806116663e-01 1.603155122179267486e-07
1.992113278619794814e-01 2.831640951034375409e-01 2.439552760870851895e-07
2.105091762880306194e-01 2.831640951034375409e-01 2.323294132396715240e-07
2.052124378382201297e-01 2.956175120882202911e-01 1.789938810882207973e-07
2.048602520750050504e-01 2.831640951034375409e-01 2.398471653818135542e-07
2.078608070631253746e-01 2.893908035958289160e-01 2.025824265066270724e-07
2.022118828500998056e-01 2.893908035958289160e-01 2.078898446434103103e-07
2.158059147378411646e-01 2.707106781186547906e-01 3.174175283430268227e-07
2.045080663117899988e-01 2.707106781186547906e-01 3.554531980488444496e-07
2.105091762880306194e-01 2.831640951034375409e-01 2.323294132396715240e-07
2.101569905248155679e-01 2.707106781186547906e-01 3.397911393157208933e-07
2.075086212999103230e-01 2.769373866110461657e-01 2.860043829035703391e-07
2.131575455129358920e-01 2.769373866110461657e-01 2.695474159642256414e-07
2.214799636989124298e-01 2.643207540444989512e-01 3.331522659921016855e-07
2.101821152728612918e-01 2.652710755538199572e-01 3.849218749517742922e-07
2.158059147378411646e-01 2.707106781186547906e-01 3.174175283430268227e-07
