x y p
1.270680260002058359e+00 3.971136974474936410e-01 1.149790054899633240e+01
1.261403553526455390e+00 3.842280411788069339e-01 1.509920594527603477e+01
1.255980289048905352e+00 3.971136878537464554e-01 1.337346919936558720e+01
1.276104299622991878e+00 3.842280025232497342e-01 1.279464370267175433e+01
1.286961273510756731e+00 3.584586009159885234e-01 2.087263313177431101e+01
1.257556135455420332e+00 3.584593275411337432e-01 2.230138191121277913e+01
1.281531235697850324e+00 3.713429655402228358e-01 1.589627043598363443e+01
1.272258879218930216e+00 3.584588543315798126e-01 2.271679166569306929e+01
1.266829667635943624e+00 3.713430971124450641e-01 1.814607434505785122e+01
1.286961273510756731e+00 3.584586009159885234e-01 2.087263313177431101e+01
1.268422962077446092e+00 3.326932556996139989e-01 3.512048691871820694e+01
1.298137372127944111e+00 3.326991093020761348e-01 3.781704505520503545e+01
1.277691383599663277e+00 3.455752859743084215e-01 2.913852264622336463e+01
1.283280380968049528e+00 3.326959859352692783e-01 3.817748744509428604e+01
1.292547618447755786e+00 3.455785388139411274e-01 2.806683122824076548e+01
1.298137372127944111e+00 3.326991093020761348e-01 3.781704505520503545e+01
1.279610400242621182e+00 3.069366805250229868e-01 5.819184434483689472e+01
1.309327459440343677e+00 3.069420000856698527e-01 5.996770922150767547e+01
1.288872941743012035e+00 3.198172653887805805e-01 4.976409969728924665e+01
1.294469139902487687e+00 3.069390741592440963e-01 6.138127752836855677e+01
1.303730629709272781e+00 3.198202764502162676e-01 4.940927346663528397e+01
1.309327459440343677e+00 3.069420000856698527e-01 5.996770922150767547e+01
1.290914554320123697e+00 2.812812923695777734e-01 7.347046161479123327e+01
1.320633668854511722e+00 2.812864095525951513e-01 5.633452029156067198e+01
1.300119870789305132e+00 2.941110921579168647e-01 6.996854705348563641e+01
1.305774290923001013e+00 2.812835440895707362e-01 7.115190119311795058e+01
1.314978751656295186e+00 2.941139693545515854e-01 6.245007676838863375e+01
1.213513645375433381e+00 0.000000000000000000e+00 -2.794901842895218351e+02
1.244144272866494427e+00 0.000000000000000000e+00 -2.666865638811363510e+02
1.231325905266395404e+00 2.551117013777461778e-02 -2.876828696428142393e+02
1.228828959120964015e+00 0.000000000000000000e+00 -2.781092984850946550e+02
1.237732676946495358e+00 1.275603340366944158e-02 -2.751602188526790087e+02
1.222415878620414453e+00 1.275624797345952313e-02 -2.822641341144694707e+02
1.265258868396986980e+00 4.099999999999999756e-01 1.187326829105210280e+01
1.235860270025486596e+00 4.099999999999999756e-01 1.172077844303544403e+01
1.246702607412759178e+00 3.842281514398456777e-01 1.517054794623700431e+01
1.250559569211236788e+00 4.099999999999999756e-01 1.299652178414875259e+01
