x y solution_f
2.073391243345293344e-01 2.680289677599020925e-01 4.199546873487635779e+00
2.129864144314425611e-01 2.680356208511349148e-01 4.049824681778757096e+00
2.101492486134854398e-01 2.707297079472880674e-01 4.229528531526848489e+00
2.101762901524864557e-01 2.653348806637489399e-01 3.861745247200969455e+00
2.158517629509607016e-01 2.591229053065131072e-01 1.901935024021878862e+00
2.214715337902793402e-01 2.643711735537530583e-01 3.088218526814867193e+00
2.130140265517235787e-01 2.622288929851310235e-01 3.075863729978244976e+00
2.186616483706200209e-01 2.617470394301331105e-01 2.510424586986042428e+00
2.158239119713828980e-01 2.648530271087510268e-01 3.513307079822557188e+00
2.158517629509607016e-01 2.591229053065131072e-01 1.901935024021878862e+00
2.179161482650015524e-01 2.526997339178204127e-01 2.539145025381062681e-01
2.235366942147028468e-01 2.575058971457887536e-01 1.098087396077942701e+00
2.168839556079811270e-01 2.559113196121667322e-01 9.314735588784237574e-01
2.207264212398521996e-01 2.551028155318045831e-01 6.114844435263129263e-01
2.196942285828317742e-01 2.583144012261509026e-01 1.482691388567401125e+00
2.179161482650015524e-01 2.526997339178204127e-01 2.539145025381062681e-01
2.199827106441337721e-01 2.458317042777649342e-01 6.866164279415717248e-03
2.256057364136114241e-01 2.500929016667426397e-01 8.358551770434990980e-02
2.189494294545676623e-01 2.492657190977926596e-01 4.980493024173482386e-02
2.227942235288725981e-01 2.479623029722538008e-01 1.024595867225589763e-01
2.217609423393064882e-01 2.513963177922815539e-01 1.026212715428577033e-01
1.907797291391070127e-01 3.452067907057075891e-01 2.639590990485702893e+00
2.028726108711706722e-01 3.652915168978345672e-01 2.250380686106436379e+00
1.892661804259240799e-01 3.675713242764575006e-01 2.094019675418179460e+00
1.968261700051388563e-01 3.552491538017710782e-01 2.450561067436362261e+00
1.960693956485473621e-01 3.664314205871460617e-01 2.173044525216066170e+00
1.900229547825155463e-01 3.563890574910825171e-01 2.371795877177991230e+00
1.907797291391070127e-01 3.452067907057075891e-01 2.639590990485702893e+00
1.922951697176462638e-01 3.228380806942036663e-01 3.147066925401734050e+00
2.043844522092491400e-01 3.429308790841882337e-01 2.794744850355079357e+00
1.915374494283766382e-01 3.340224356999555999e-01 2.897811919105794942e+00
1.983398109634477158e-01 3.328844798891959500e-01 2.976990077606333607e+00
1.975820906741780902e-01 3.440688348949478836e-01 2.718413229082480509e+00
1.862974326369783162e-01 3.103771039424724210e-01 3.352672937007338039e+00
1.922951697176462638e-01 3.228380806942036663e-01 3.147066925401734050e+00
1.999034086840252855e-01 3.080981451541364158e-01 3.518570638441130161e+00
1.892963011773122761e-01 3.166075923183380159e-01 3.252347031107923669e+00
1.960992892008357746e-01 3.154681129241700410e-01 3.334681245677536765e+00
1.931004206605018148e-01 3.092376245483043906e-01 3.438637285169486191e+00
1.939067796469397809e-01 2.956348286696267036e-01 3.723399917461323039e+00
1.999034086840252855e-01 3.080981451541364158e-01 3.518570638441130161e+00
2.052002532036939497e-01 2.956446312979010282e-01 3.810061163004191620e+00
1.969050941654825193e-01 3.018664869118815597e-01 3.622228167654519382e+00
2.025518309438596176e-01 3.018713882260187220e-01 3.666148334734071756e+00
1.995535164253168792e-01 2.956397299837638659e-01 3.770162479094031571e+00
1.992042397808709009e-01 2.831790882199866077e-01 4.022893542216022134e+00
2.052002532036939497e-01 2.956446312979010282e-01 3.810061163004191620e+00
2.104979406964509192e-01 2.831886871482030554e-01 4.080864131609896361e+00
2.022022464922824114e-01 2.894118597589437902e-01 3.915359932982716895e+00
2.078490969500724206e-01 2.894166592230520418e-01 3.949126646232575588e+00
2.048510902386609100e-01 2.831838876840948593e-01 4.056274498013059393e+00
2.045019585165722131e-01 2.707230548560552452e-01 4.272393946957893540e+00
2.104979406964509192e-01 2.831886871482030554e-01 4.080864131609896361e+00
2.157965387103986388e-01 2.707363610385208896e-01 4.154239789865792787e+00
2.074999496065115800e-01 2.769558710021291503e-01 4.187270544119322757e+00
2.131472397034247790e-01 2.769625240933619725e-01 4.194540565079728722e+00
2.101492486134854398e-01 2.707297079472880674e-01 4.229528531526848489e+00
2.101762901524864557e-01 2.653348806637489399e-01 3.861745247200969455e+00
2.157965387103986388e-01 2.707363610385208896e-01 4.154239789865792787e+00
2.214715337902793402e-01 2.643711735537530583e-01 3.088218526814867193e+00
2.129864144314425611e-01 2.680356208511349148e-01 4.049824681778760649e+00
2.186340362503390033e-01 2.675537672961370017e-01 3.840495919091220678e+00
2.158239119713828980e-01 2.648530271087510268e-01 3.513307079822557188e+00
2.158517629509607016e-01 2.591229053065131072e-01 1.901935024021878862e+00
2.214715337902793402e-01 2.643711735537530583e-01 3.088218526814867193e+00
2.235366942147028468e-01 2.575058971457887536e-01 1.098087396077942701e+00
2.186616483706200209e-01 2.617470394301331105e-01 2.510424586986043760e+00
2.225041140024910935e-01 2.609385353497709059e-01 2.109763010679549300e+00
2.196942285828317742e-01 2.583144012261509026e-01 1.482691388567401125e+00
2.179161482650015524e-01 2.526997339178204127e-01 2.539145025381062681e-01
2.235366942147028468e-01 2.575058971457887536e-01 1.098087396077942701e+00
2.256057364136114241e-01 2.500929016667426397e-01 8.358551770434990980e-02
2.207264212398521996e-01 2.551028155318045831e-01 6.114844435263134814e-01
2.245712153141571354e-01 2.537993994062657244e-01 3.558688927712226890e-01
2.217609423393064882e-01 2.513963177922815539e-01 1.026212715428577033e-01
2.199827106441337721e-01 2.458317042777649342e-01 6.866164279415717248e-03
2.256057364136114241e-01 2.500929016667426397e-01 8.358551770434990980e-02
